user_id,event_id,event_date,activity_type,attended_flag
U00008,E0001,2025-10-01,Family Workshop,1
U00017,E0001,2025-10-01,Family Workshop,1
U00022,E0001,2025-10-01,Family Workshop,0
U00028,E0001,2025-10-01,Family Workshop,1
U00033,E0001,2025-10-01,Family Workshop,1
U00047,E0001,2025-10-01,Family Workshop,1
U00051,E0001,2025-10-01,Family Workshop,1
U00069,E0001,2025-10-01,Family Workshop,1
U00108,E0001,2025-10-01,Family Workshop,0
U00119,E0001,2025-10-01,Family Workshop,1
U00125,E0001,2025-10-01,Family Workshop,1
U00128,E0001,2025-10-01,Family Workshop,1
U00147,E0001,2025-10-01,Family Workshop,1
U00176,E0001,2025-10-01,Family Workshop,1
U00185,E0001,2025-10-01,Family Workshop,1
U00200,E0001,2025-10-01,Family Workshop,1
U00205,E0001,2025-10-01,Family Workshop,0
U00217,E0001,2025-10-01,Family Workshop,1
U00237,E0001,2025-10-01,Family Workshop,1
U00261,E0001,2025-10-01,Family Workshop,0
U00264,E0001,2025-10-01,Family Workshop,1
U00271,E0001,2025-10-01,Family Workshop,1
U00290,E0001,2025-10-01,Family Workshop,1
U00292,E0001,2025-10-01,Family Workshop,1
U00309,E0001,2025-10-01,Family Workshop,1
U00310,E0001,2025-10-01,Family Workshop,1
U00312,E0001,2025-10-01,Family Workshop,1
U00314,E0001,2025-10-01,Family Workshop,1
U00325,E0001,2025-10-01,Family Workshop,1
U00344,E0001,2025-10-01,Family Workshop,1
U00354,E0001,2025-10-01,Family Workshop,1
U00365,E0001,2025-10-01,Family Workshop,1
U00378,E0001,2025-10-01,Family Workshop,1
U00381,E0001,2025-10-01,Family Workshop,1
U00391,E0001,2025-10-01,Family Workshop,0
U00400,E0001,2025-10-01,Family Workshop,1
U00404,E0001,2025-10-01,Family Workshop,1
U00410,E0001,2025-10-01,Family Workshop,0
U00424,E0001,2025-10-01,Family Workshop,1
U00456,E0001,2025-10-01,Family Workshop,1
U00458,E0001,2025-10-01,Family Workshop,1
U00465,E0001,2025-10-01,Family Workshop,1
U00469,E0001,2025-10-01,Family Workshop,1
U00475,E0001,2025-10-01,Family Workshop,1
U00485,E0001,2025-10-01,Family Workshop,1
U00497,E0001,2025-10-01,Family Workshop,1
U00511,E0001,2025-10-01,Family Workshop,1
U00513,E0001,2025-10-01,Family Workshop,1
U00516,E0001,2025-10-01,Family Workshop,1
U00552,E0001,2025-10-01,Family Workshop,1
U00555,E0001,2025-10-01,Family Workshop,1
U00566,E0001,2025-10-01,Family Workshop,1
U00611,E0001,2025-10-01,Family Workshop,1
U00619,E0001,2025-10-01,Family Workshop,1
U00623,E0001,2025-10-01,Family Workshop,0
U00633,E0001,2025-10-01,Family Workshop,1
U00649,E0001,2025-10-01,Family Workshop,1
U00650,E0001,2025-10-01,Family Workshop,1
U00664,E0001,2025-10-01,Family Workshop,1
U00669,E0001,2025-10-01,Family Workshop,1
U00675,E0001,2025-10-01,Family Workshop,1
U00679,E0001,2025-10-01,Family Workshop,1
U00681,E0001,2025-10-01,Family Workshop,1
U00693,E0001,2025-10-01,Family Workshop,1
U00696,E0001,2025-10-01,Family Workshop,1
U00700,E0001,2025-10-01,Family Workshop,0
U00716,E0001,2025-10-01,Family Workshop,1
U00734,E0001,2025-10-01,Family Workshop,1
U00738,E0001,2025-10-01,Family Workshop,1
