user_id,txn_datetime,txn_category,spend_amount,txn_date
U00908,2025-11-02 16:03:00,Cafe,47,2025-11-02
U00212,2026-01-02 13:55:00,Cafe,40,2026-01-02
U00369,2026-01-19 12:18:00,Cafe,31,2026-01-19
U00597,2025-10-30 10:57:00,Cafe,43,2025-10-30
U01191,2025-10-31 19:44:00,Cafe,51,2025-10-31
U00429,2026-01-26 16:03:00,Cafe,19,2026-01-26
U01184,2025-10-25 16:35:00,Cafe,83,2025-10-25
U00208,2025-10-14 19:33:00,Cafe,28,2025-10-14
U00584,2025-11-11 18:10:00,Cafe,80,2025-11-11
U00892,2026-01-07 11:17:00,Cafe,36,2026-01-07
U00966,2025-12-17 15:01:00,Cafe,71,2025-12-17
U00455,2025-10-26 15:19:00,Cafe,17,2025-10-26
U00362,2025-11-13 13:33:00,Cafe,48,2025-11-13
U00728,2026-01-10 18:20:00,Cafe,37,2026-01-10
U00195,2025-12-07 10:20:00,Merch,75,2025-12-07
U00651,2025-12-18 10:43:00,Cafe,58,2025-12-18
U00119,2025-11-11 19:00:00,Cafe,83,2025-11-11
U01189,2025-11-17 14:58:00,Cafe,33,2025-11-17
U01158,2026-02-22 19:30:00,Cafe,65,2026-02-22
U00088,2025-11-07 11:35:00,Cafe,59,2025-11-07
U00395,2025-12-23 16:56:00,Cafe,58,2025-12-23
U00794,2025-10-11 16:02:00,Cafe,29,2025-10-11
U00988,2025-10-11 14:19:00,Cafe,53,2025-10-11
U00382,2025-12-19 10:03:00,Cafe,31,2025-12-19
U00145,2026-02-19 16:31:00,Cafe,58,2026-02-19
U00771,2025-11-14 20:38:00,Merch,57,2025-11-14
U00648,2025-12-18 18:06:00,Cafe,70,2025-12-18
U00946,2025-11-03 19:45:00,Cafe,50,2025-11-03
U00822,2026-02-13 19:22:00,Cafe,22,2026-02-13
U00666,2025-12-22 17:04:00,Cafe,31,2025-12-22
U00583,2026-01-17 14:17:00,Cafe,29,2026-01-17
U00718,2025-11-28 18:48:00,Cafe,23,2025-11-28
U00532,2025-12-17 16:29:00,Merch,9,2025-12-17
U01108,2026-02-15 13:38:00,Cafe,57,2026-02-15
U00651,2025-11-23 10:08:00,Merch,29,2025-11-23
U00653,2026-02-01 20:31:00,Cafe,41,2026-02-01
U00763,2026-02-07 17:51:00,Cafe,62,2026-02-07
U00245,2026-01-20 19:48:00,Cafe,59,2026-01-20
